MUNIC_CODE7,MUNIC_CODE6,FU,FU_NAME,LONG,LAT,OBSERVED,EXPECTED,RR_PREV,HDI,HDI_educ,HDI_long,HDI_inc,GeoSES,GeoSESed,GeoSESpv,GeoSESdp,GeoSESwl,GeoSESin,GeoSESsg
1712801,171280,17,TOCANTINS,"-47,50488","-5,952566",29,"42,44028871","0,68331","0,58","0,498","0,724","0,542","-0,71227","76,05212","71,63748","9,768598",0,"852,7495","0,038737"
1713205,171320,17,TOCANTINS,"-48,387991","-9,568346",249,"284,6002535","0,874901","0,684","0,579","0,82","0,675","-0,41199","64,89951","44,44315","13,98524","0,872893","1812,794","0,055278"
1713304,171330,17,TOCANTINS,"-48,592632","-9,517405",197,"195,6568766","1,006865","0,662","0,571","0,804","0,633","-0,48549","66,44006","48,18335","14,44271","0,104709","1417,232","0,067039"
1713601,171360,17,TOCANTINS,"-48,11042","-10,763542",86,"109,5104438","0,785307","0,622","0,489","0,808","0,608","-0,62391","73,41371","65,39668","11,56371","0,363817","1321,235","0,004025"
1713700,171370,17,TOCANTINS,"-48,990891","-10,005591",38,"36,50350411","1,040996","0,62","0,547","0,76","0,572","-0,55203","71,7197","61,15281","13,2739","0,635278","911,409","0,053249"
1713809,171380,17,TOCANTINS,"-47,558684","-6,611862",71,"79,6667214","0,89121","0,628","0,522","0,81","0,586","-0,61892","72,11996","60,81756","11,18784","0,261182","1247,964","0,036661"
1713957,171395,17,TOCANTINS,"-48,606745","-7,138519",32,"45,11193658","0,709344","0,596","0,524","0,745","0,543","-0,72659","75,10023","70,07192","6,073203","0,286305","739,5064","0,00379"
1714203,171420,17,TOCANTINS,"-47,727258","-11,705357",143,"134,8167006","1,060702","0,673","0,556","0,847","0,646","-0,53381","68,96685","56,05862","17,90808","0,325524","1566,641","0,034783"
1714302,171430,17,TOCANTINS,"-47,666977","-6,372558",53,"68,60715825","0,77251","0,643","0,576","0,792","0,584","-0,65162","67,81224","63,39977","7,512462","0,191036","1078,025","0,025617"
1714880,171488,17,TOCANTINS,"-48,424807","-7,633315",169,"157,5654222","1,072574","0,631","0,535","0,765","0,614","-0,60283","70,8574","58,77654","7,070515","0,143775","1412,307","0,042703"
1715002,171500,17,TOCANTINS,"-48,906181","-10,566871",57,"61,78567689","0,922542","0,661","0,628","0,791","0,582","-0,56313","63,42742","65,52642","15,12309",0,"1001,318","0,050999"
1715101,171510,17,TOCANTINS,"-47,668148","-9,968486",60,"55,56755891","1,079768","0,639","0,53","0,797","0,618","-0,54365","70,79011","59,52398","10,88044","0,912633","1284,155","0,036501"
1715150,171515,17,TOCANTINS,"-46,577297","-12,909939",30,"36,30906018","0,826238","0,699","0,654","0,812","0,642","-0,48668","60,74651","52,21958","15,57865","0,52527","1555,904","0,049815"
1715259,171525,17,TOCANTINS,"-46,630787","-11,815875",32,"31,51670479","1,015335","0,596","0,52","0,73","0,559","-0,73383","77,05859","63,38863","9,426763",0,"1105,861","0,017543"
1715507,171550,17,TOCANTINS,"-48,907402","-10,708363",17,"15,608224","1,08917","0,675","0,614","0,798","0,627","-0,45246","62,41526","55,08913","17,11901","0,709288","1199,1","0,072125"
1715705,171570,17,TOCANTINS,"-47,93425","-7,857561",59,"75,41833944","0,782299","0,571","0,436","0,756","0,564","-0,67711","77,99459","69,23546","9,799182","0,263716","998,555","0,033765"
1715754,171575,17,TOCANTINS,"-48,413414","-13,039888",87,"116,8587535","0,744481","0,673","0,571","0,817","0,652","-0,41419","67,36761","47,87103","13,26459","1,335369","1506,076","0,042579"
1716109,171610,17,TOCANTINS,"-48,88663","-10,171221",653,"625,974862","1,043182","0,764","0,706","0,831","0,759","-0,14142","53,49465","26,94302","19,52966","1,510686","2929,846","0,085622"
1716208,171620,17,TOCANTINS,"-47,884084","-12,620481",137,"152,9363723","0,895793","0,595","0,461","0,777","0,588","-0,70979","78,31559","69,37058","10,52242","0,15349","1110,651","-0,01502"
1716307,171630,17,TOCANTINS,"-49,363306","-7,539998",57,"71,98622562","0,791814","0,661","0,587","0,792","0,621","-0,56892","69,98917","52,67756","6,757593",0,"1475,75","0,040773"
1716505,171650,17,TOCANTINS,"-48,177556","-8,96445",149,"155,1524984","0,960344","0,732","0,664","0,846","0,699","-0,32767","56,37465","33,02295","16,09383","0,782862","2224,092","0,046601"
1716604,171660,17,TOCANTINS,"-48,537811","-12,029774",134,"170,4688824","0,786058","0,674","0,555","0,812","0,679","-0,51081","69,74291","49,43982","16,70868","0,445409","1826,114","-0,0025"
1716653,171665,17,TOCANTINS,"-48,93518","-8,593341",69,"77,41585216","0,891288","0,627","0,518","0,806","0,589","-0,60502","76,49055","61,70537","12,31484","0,193143","1081,425","0,053833"
1716703,171670,17,TOCANTINS,"-48,757067","-8,729372",134,"143,0522805","0,936718","0,671","0,574","0,816","0,645","-0,4894","69,50919","47,4874","14,26743",0,"1445,081","0,072987"
1717008,171700,17,TOCANTINS,"-47,575688","-11,138203",56,"71,32687053","0,785114","0,605","0,521","0,733","0,579","-0,63198","74,64328","68,30303","9,501422","0,560133","1080,63","0,025485"
1717206,171720,17,TOCANTINS,"-48,293707","-6,769777",29,"49,39560396","0,587093","0,621","0,511","0,792","0,593","-0,63926","74,50077","60,5216","9,372711","0,828057","1189,189","0,000859"
1717503,171750,17,TOCANTINS,"-49,166658","-10,440931",106,"106,0995507","0,999062","0,65","0,527","0,822","0,633","-0,51129","69,66879","50,45962","13,77167","0,694638","1418,47","0,046452"
1717800,171780,17,TOCANTINS,"-46,469587","-12,087813",62,"76,21610576","0,813473","0,603","0,455","0,82","0,589","-0,64722","76,8097","68,32358","14,70084","0,354532","1047,849","0,036737"
1717909,171790,17,TOCANTINS,"-47,54118","-10,740673",99,"108,2102442","0,914883","0,624","0,531","0,779","0,587","-0,5938","70,93629","65,16356","7,030674","0,321097","1184,45","0,036096"
1718006,171800,17,TOCANTINS,"-47,047426","-11,607259",33,"41,61969151","0,792892","0,645","0,584","0,785","0,586","-0,60393","69,97053","57,00327","13,56059","0,422688","1228,383","0,008917"
1718204,171820,17,TOCANTINS,"-48,412153","-10,70857",790,"676,8400392","1,167233","0,74","0,701","0,826","0,699","-0,27507","55,4234","37,27762","17,0225","1,051398","2311,548","0,040067"
1718303,171830,17,TOCANTINS,"-47,814732","-5,396713",95,"96,23103713","0,987207","0,583","0,517","0,73","0,526","-0,79358","76,76598","75,22574","4,415226",0,"911,9799","0,008161"
1718402,171840,17,TOCANTINS,"-48,504331","-8,529961",54,"55,46915155","0,973514","0,669","0,582","0,82","0,628","-0,58324","69,41898","57,64128","9,013334","0,24851","1389,081","0,028464"
1718451,171845,17,TOCANTINS,"-48,89422","-10,424307",37,"33,08613392","1,118295","0,669","0,595","0,809","0,621","-0,55968","69,05602","47,63399","11,7885",0,"1381,979","0,039501"
1718501,171850,17,TOCANTINS,"-47,238041","-8,73536",47,"50,02356166","0,939556","0,5","0,345","0,738","0,49","-0,78037","83,08144","79,77661","5,622726",0,"696,5287","0,042373"
1718550,171855,17,TOCANTINS,"-48,141046","-6,442211",37,"62,1898781","0,594947","0,572","0,49","0,76","0,503","-0,79311","75,97112","78,95662","8,505074",0,"630,0333","-0,00161"
1718659,171865,17,TOCANTINS,"-46,8804","-11,40494",22,"21,07013139","1,044132","0,608","0,561","0,718","0,557","-0,63854","69,789","71,35508","16,3883","0,407603","886,0513","0,044855"
1718709,171870,17,TOCANTINS,"-48,533048","-9,343742",36,"40,73102125","0,883846","0,616","0,501","0,795","0,588","-0,61819","73,64341","60,74993","10,87088",0,"1092,684","0,052814"
1718758,171875,17,TOCANTINS,"-47,899942","-9,347789",60,"101,6167642","0,590446","0,6","0,482","0,779","0,574","-0,6583","75,00327","68,64043","5,800778","0,171687","1099,404","0,024474"
1718808,171880,17,TOCANTINS,"-47,875792","-5,349296",50,"44,22736567","1,130524","0,606","0,59","0,691","0,546","-0,73644","71,26509","68,50852","6,259168",0,"978,597","0,004263"
1718840,171884,17,TOCANTINS,"-49,933388","-12,5416",62,"57,62855914","1,075857","0,659","0,578","0,791","0,626","-0,50478","70,3439","51,85108","16,55904",0,"1211,434","0,034732"
1718865,171886,17,TOCANTINS,"-48,693942","-7,149936",72,"85,38719642","0,843214","0,616","0,482","0,804","0,604","-0,62622","72,77275","62,69134","10,75663","0,186784","1187,331","0,033464"
1718881,171888,17,TOCANTINS,"-47,74527","-8,774976",32,"44,38851346","0,720904","0,634","0,543","0,784","0,6","-0,52386","71,03348","58,77503","12,53161","0,375883","1196,117","0,077621"
1718899,171889,17,TOCANTINS,"-48,909294","-10,866455",21,"33,88840209","0,619678","0,651","0,527","0,83","0,63","-0,51781","70,57756","56,13975","16,23316","0,559527","1333,251","0,006491"
1718907,171890,17,TOCANTINS,"-48,119954","-11,451404",69,"67,93804709","1,015632","0,595","0,471","0,78","0,574","-0,65555","75,91272","67,6844","10,6713","0,185115","969,3638","0,029883"
1719004,171900,17,TOCANTINS,"-47,806288","-10,282362",44,"35,93211502","1,224535","0,662","0,575","0,817","0,618","-0,54592","69,92717","52,10591","6,576405",0,"1516,46","0,025748"
1720002,172000,17,TOCANTINS,"-47,684285","-6,436998",38,"36,0514042","1,054051","0,637","0,584","0,758","0,583","-0,64128","70,15479","66,18753","6,015074",0,"1199,104","0,051355"
1720101,172010,17,TOCANTINS,"-47,919392","-6,044999",55,"59,09028204","0,930778","0,605","0,506","0,736","0,595","-0,67265","73,54637","65,28448","7,533015","0,211228","1294,085","0,011146"
1720150,172015,17,TOCANTINS,"-46,654981","-10,173286",22,"18,05159646","1,21873","0,574","0,446","0,771","0,55","-0,76039","77,21756","76,14788","7,053222","1,119531","956,9894","-0,03467"
1720200,172020,17,TOCANTINS,"-47,573002","-5,55382",135,"138,9005757","0,971917","0,623","0,544","0,762","0,582","-0,69955","70,98399","67,88135","4,936178",0,"1180,117","0,017057"
1720259,172025,17,TOCANTINS,"-48,232085","-12,747433",28,"40,04762475","0,699165","0,605","0,471","0,794","0,592","-0,64939","73,927","65,56818","11,15068",0,"1078,69","0,009627"
1720309,172030,17,TOCANTINS,"-48,203834","-5,258961",60,"56,59540454","1,060158","0,573","0,487","0,748","0,516","-0,79886","74,73919","79,70136","2,963503",0,"807,1066","0,019112"
1720499,172049,17,TOCANTINS,"-48,232948","-11,973067",84,"74,537842","1,126948","0,643","0,539","0,814","0,605","-0,58543","69,30137","64,63837","11,04276","0,348231","1162,456","0,017007"
1720655,172065,17,TOCANTINS,"-48,179824","-11,149861",83,"83,55045029","0,993412","0,675","0,592","0,814","0,638","-0,56478","67,54201","53,55284","16,28671",0,"1557,151","-0,00231"
1720804,172080,17,TOCANTINS,"-47,637423","-5,604727",131,"134,1688759","0,97638","0,604","0,526","0,762","0,55","-0,7033","73,629","71,20682","3,712125","0,496232","931,401","0,042025"
1720853,172085,17,TOCANTINS,"-48,911126","-11,986222",23,"27,94910973","0,822923","0,667","0,599","0,794","0,623","-0,48666","67,75563","53,29419","17,89837",0,"1438,5","0,041432"
1720903,172090,17,TOCANTINS,"-46,438732","-12,396142",187,"228,3934428","0,818751","0,634","0,497","0,818","0,628","-0,59141","73,53741","63,67117","15,78216","0,309761","1354,142","0,038388"
1720937,172093,17,TOCANTINS,"-46,984572","-12,192837",27,"27,43185027","0,984257","0,601","0,47","0,798","0,578","-0,72111","77,9272","70,23592","11,37759",0,"1069,12","0,020328"
1720978,172097,17,TOCANTINS,"-49,091118","-12,787538",43,"39,70150293","1,083084","0,654","0,535","0,801","0,654","-0,42684","67,65129","38,48333","20,054",0,"1637,332","0,034972"
1721000,172100,17,TOCANTINS,"-48,351044","-10,163253",2695,"2689,776033","1,001944","0,788","0,749","0,827","0,789","0,051821","45,47525","23,6445","27,63716","2,705311","3691,833","0,072055"
1721109,172110,17,TOCANTINS,"-48,37588","-9,558148",71,"78,10994145","0,908973","0,589","0,459","0,782","0,57","-0,69737","75,8776","70,47157","8,009772","0,38235","1059,061","0,034203"
1721208,172120,17,TOCANTINS,"-47,427413","-6,325634",266,"303,7652016","0,875665","0,681","0,623","0,801","0,634","-0,5203","62,66704","54,15597","14,63556","0,46595","1535,144","0,03294"
1721257,172125,17,TOCANTINS,"-48,206685","-8,98057",17,"23,81553235","0,713818","0,67","0,593","0,808","0,629","-0,53022","70,32777","49,18623","10,40691","0,822606","1407,708","0,038827"
1721307,172130,17,TOCANTINS,"-48,122996","-8,39553",23,"34,4553237","0,667529","0,587","0,425","0,791","0,601","-0,72464","82,49369","63,78149","6,78914","0,202549","1048,516","-0,01341"
1722081,172208,17,TOCANTINS,"-47,956268","-6,850126",144,"164,4476126","0,875653","0,638","0,561","0,748","0,619","-0,56648","68,5009","56,06373","8,672086","0,494548","1504,985","0,050499"
1722107,172210,17,TOCANTINS,"-48,531601","-6,411885",178,"158,1280824","1,125677","0,671","0,57","0,818","0,648","-0,57976","65,85941","55,34468","8,10473","0,46717","1563,296","0,019291"
2100055,210005,21,MARANHAO,"-47,506665","-4,951377",1426,"1297,467266","1,099111","0,672","0,602","0,785","0,643","-0,52697","67,20053","55,19646","11,72312","0,414497","1719,674","0,055999"
2100105,210010,21,MARANHAO,"-43,320869","-4,135015",63,"68,73606512","0,916548","0,529","0,434","0,725","0,471","-0,8392","82,95526","82,35617","0,262505","0,252095","713,1782","0,011856"
2100154,210015,21,MARANHAO,"-42,115551","-2,840278",106,"157,7125711","0,672097","0,5","0,363","0,697","0,494","-0,81173","86,60615","79,85814","3,728267","0,157925","761,5988","0,050715"
2100204,210020,21,MARANHAO,"-44,417013","-2,403277",199,"318,1253719","0,625515","0,573","0,475","0,753","0,525","-0,85037","74,06573","74,99795","1,735619",0,"791,1884","-0,03467"
2100303,210030,21,MARANHAO,"-43,468735","-4,630779",302,"302,0065746","0,999978","0,513","0,374","0,72","0,5","-0,85552","85,01884","83,50959","2,880725","0,210481","763,2493","0,032423"
2100402,210040,21,MARANHAO,"-45,464676","-4,162269",75,"141,690504","0,529311","0,549","0,473","0,719","0,486","-0,80825","77,11161","81,16591","2,332799","0,149431","713,422","0,031921"
2100436,210043,21,MARANHAO,"-44,448247","-4,207227",355,"315,2521672","1,126098","0,554","0,444","0,744","0,516","-0,81858","80,09411","79,78326","2,686423","0,321631","748,5972","0,023924"
2100477,210047,21,MARANHAO,"-45,84208","-3,66517",313,"405,0742637","0,772674","0,558","0,483","0,774","0,465","-0,86115","80,06742","86,65536","2,083904",0,"588,833","0,025209"
2100501,210050,21,MARANHAO,"-45,927344","-9,108366",106,"148,7679487","0,712509","0,633","0,474","0,785","0,683","-0,64711","77,29801","67,8845","4,095611","0,631807","1874,712","0,024057"
2100550,210055,21,MARANHAO,"-46,00918","-1,680921",85,"78,17817314","1,087262","0,52","0,406","0,688","0,503","-0,84595","82,85289","80,63991","2,647385",0,"793,0298","0,034615"
2100600,210060,21,MARANHAO,"-46,750638","-5,557662",444,"471,7305066","0,941207","0,555","0,441","0,716","0,541","-0,77388","80,43676","75,85098","1,623585",0,"995,2249","0,040665"
2100709,210070,21,MARANHAO,"-44,62067","-3,257555",212,"368,2946788","0,575596","0,581","0,492","0,762","0,523","-0,77178","76,19474","75,26581","2,813726","0,190397","843,0582","0,065413"
2100808,210080,21,MARANHAO,"-43,105793","-3,667035",154,"170,4980593","0,903231","0,581","0,502","0,764","0,511","-0,69302","74,31866","78,21589","4,868441","0,453225","811,7151","0,040688"
2100832,210083,21,MARANHAO,"-45,076652","-1,530592",154,"189,3914664","0,813121","0,568","0,483","0,718","0,529","-0,80524","76,72441","76,4688","2,667006","0,283922","1050,022","0,007017"
2100873,210087,21,MARANHAO,"-45,668794","-2,949126",103,"172,4940707","0,597108","0,533","0,444","0,706","0,483","-0,83689","79,01067","86,08108","1,769906","0,212768","765,0413","0,015829"
2100907,210090,21,MARANHAO,"-41,899139","-2,889256",349,"590,4281444","0,591049","0,521","0,402","0,709","0,497","-0,83371","83,59808","80,31084","1,926436",0,"761,6382","0,039765"
2100956,210095,21,MARANHAO,"-46,013636","-4,886082",307,"374,2273093","0,820339","0,512","0,365","0,701","0,525","-0,83658","84,58866","83,97296","2,62656",0,"906,6349","0,026875"
2101004,210100,21,MARANHAO,"-44,778835","-3,459171",367,"393,2293898","0,933289","0,626","0,546","0,764","0,587","-0,65671","71,68277","66,10307","2,647854","0,288254","1229,673","0,082652"
2101103,210110,21,MARANHAO,"-44,054586","-2,837797",115,"148,5339414","0,774225","0,641","0,634","0,776","0,535","-0,70705","65,53672","76,20403","4,207933","0,420274","1051,121","0,004609"
2101202,210120,21,MARANHAO,"-44,781556","-4,231525",1547,"1360,923973","1,136798","0,651","0,591","0,753","0,619","-0,55404","67,12212","58,64281","5,320474","1,014612","1534,204","0,039741"
2101251,210125,21,MARANHAO,"-44,315423","-2,985825",217,"185,1936453","1,171759","0,629","0,58","0,768","0,558","-0,70274","68,91686","70,63247","8,96182",0,"1111,865","0,04385"
2101301,210130,21,MARANHAO,"-45,137349","-1,724046",188,"219,0883398","0,858092","0,578","0,484","0,737","0,54","-0,84834","76,51253","75,57897","2,458504","0,122815","990,9172","-0,03079"
2101350,210135,21,MARANHAO,"-44,735742","-2,710872",45,"81,81897113","0,549988","0,537","0,479","0,681","0,474","-0,92398","78,93214","84,70798","0,557585","0,161053","612,5855","-0,03887"
2101400,210140,21,MARANHAO,"-46,038993","-7,53117",1250,"977,3930565","1,279028","0,687","0,597","0,807","0,674","-0,39109","64,41644","48,22755","11,88411","1,040675","2089,496","0,056826"
2101509,210150,21,MARANHAO,"-43,026453","-6,758955",225,"261,9355348","0,858979","0,592","0,484","0,743","0,578","-0,62736","73,28304","62,16622","6,521758","0,353813","1187,393","0,033452"
2101608,210160,21,MARANHAO,"-45,239011","-5,50834",1135,"1151,101768","0,986007","0,606","0,498","0,763","0,585","-0,66625","75,28965","68,45491","3,728425","0,561551","1177,704","0,051837"
2101707,210170,21,MARANHAO,"-42,827803","-2,750086",520,"633,4315268","0,820894","0,57","0,479","0,752","0,515","-0,79794","79,768","79,96459","3,061318","0,613601","907,1879","0,033924"
2101731,210173,21,MARANHAO,"-43,510062","-3,156772",46,"66,25560229","0,694276","0,512","0,455","0,707","0,417","-0,90699","81,65353","89,33636","2,734901",0,"591,0019","0,021066"
2101772,210177,21,MARANHAO,"-45,248246","-3,737733",141,"155,9124317","0,904349","0,554","0,45","0,735","0,515","-0,80231","80,10419","79,02802","3,656227","0,13199","916,8482","0,040363"
2101806,210180,21,MARANHAO,"-44,559857","-7,2188",50,"86,713166","0,576607","0,546","0,426","0,719","0,531","-0,7498","80,27658","74,3837","1,460784","0,456539","877,0428","0,05166"
2101905,210190,21,MARANHAO,"-44,78573","-2,462063",169,"315,146779","0,536232","0,601","0,561","0,757","0,51","-0,73354","70,82131","77,88768","1,326295","0,220191","712,2613","0,05621"
2101939,210193,21,MARANHAO,"-44,764323","-4,630287",46,"89,1153265","0,516178","0,604","0,547","0,742","0,544","-0,66859","73,99922","68,26762","1,815006",0,"1025,758","0,072137"
2101970,210197,21,MARANHAO,"-46,29871","-1,793296",68,"93,62230259","0,726316","0,545","0,461","0,681","0,515","-0,84396","80,08681","77,92476","3,654778",0,"890,792","0,023096"
2102002,210200,21,MARANHAO,"-45,601889","-3,544161",446,"518,6693281","0,859872","0,538","0,4","0,75","0,519","-0,84059","82,99454","81,21274","2,366478","0,121417","820,3022","0,024158"
2102036,210203,21,MARANHAO,"-46,853241","-4,489968",330,"341,511965","0,966287","0,558","0,431","0,751","0,537","-0,80099","80,0162","79,35978","3,050036",0,"953,0379","0,02467"
2102077,210207,21,MARANHAO,"-45,031108","-4,37551",127,"188,0459064","0,675353","0,562","0,493","0,741","0,486","-0,79749","77,30728","82,95199","1,045417","0,133831","706,5904","0,024687"
2102101,210210,21,MARANHAO,"-42,750848","-3,679178",333,"440,2961771","0,756282","0,562","0,454","0,758","0,517","-0,76733","79,81998","80,95216","1,900185","0,355422","869,7143","0,024895"
2102150,210215,21,MARANHAO,"-45,582095","-4,33063",68,"65,73197992","1,034505","0,519","0,408","0,677","0,507","-0,83076","84,18567","77,11192","1,359217",0,"831,6501","0,041207"
2102200,210220,21,MARANHAO,"-42,925106","-3,945572",272,"334,294875","0,813636","0,548","0,48","0,714","0,479","-0,79475","79,86045","83,38048","1,057432","0,181022","658,7534","0,028077"
2102309,210230,21,MARANHAO,"-43,835622","-5,835288",300,"327,0918322","0,917165","0,59","0,506","0,752","0,539","-0,74666","78,32132","72,47197","3,306145","0,151625","939,6863","0,010348"
